Date,Place,Street,Railroad,Description
05/03/16 0:15,"TOLEDO, OHIO",NEW YORK AVENUE,Wheeling & Lake Erie Railway Company,223-04 WAS STOPPED AT THE ANN ARBOR CONNECTION WAITING TO GO ONTO THE CN. A POLICE OFFICER APPROACHED THE CREW AND INSTRUCTED THEM TO NOT MOVE THEIR TRAIN DUE TO A CAR HAD STRUCK THE SIDE OF THEIR TRAIN AT NEW YORK AVENUE. RAILCAR NKOL 734502 WAS THE RAILCAR STRUCK.
04/03/16 16:05,"BATON ROUGE, LOUISIANA",SOUTER RD,Illinois Central Railroad Company,DRIVER STOPPED HIS VEHICLE ON THE SOUTER ROAD CROSSING AND WAS STRUCK BY THE ONCOMING TRAIN. NO INJURIES WERE REPORTED.
04/03/16 15:46,MICHIGAN,POKAGON HWY,Amtrak (National Railroad Passenger Corporation),TRAIN 352 STRUCK AN OCCUPIED VEHICLE AT CROSSING
04/03/16 8:30,"SALLISAW, OKLAHOMA",RD 4640 / DUMP ROAD,Kansas City Southern Railway Company,THE TRAIN STRUCK A PICK UP TRUCK THAT WAS MOVING ACROSS THE TRACKS AT MP 293.19 IN THE HEAVENER SUBDIVISION.
04/03/16 3:40,"LUMBERPORT, WEST VIRGINIA",PRIVATE ROAD,CSX Transportation,T04526 STRUCK AN UNOCCUPIED VEHICLE AT ROAD CROSSING.
03/03/16 23:25,"PAMPA, TEXAS",STARKWEATHER ST,BNSF Railway Company,
03/03/16 22:45,"GLENDALE, OHIO",ALBION AVENUE,Norfolk Southern Corporation,"NS TRAIN 144L003 STRUCK A HWY-USER AT A HWY-GRADE CROSSING, (CSX TRACKS DOT# 152375G)."
03/03/16 19:00,LOUISIANA,YOUNG AVENUE,Union Pacific Railroad Company,
03/03/16 18:08,"BERKELEY, CALIFORNIA",BANCROFT WAY,Amtrak (National Railroad Passenger Corporation),"TRAIN 718 OPERATING WITH CAB CAR 8312, 4 CARS AND 1 LOCOMOTIVE TRAILING, STRUCK AN OCCUPIED MOTOR-HOME STALLED ON THE TRACKS WITH THE CROSSING GATES DOWN AT MP 6.0, BANCROFT WAY CROSSING. AMTRAKS EQUIPMENT DAMAGE IS $34,667.00."
03/03/16 17:57,"INDIANAPOLIS, INDIANA",RURAL ST,CSX Transportation,"S13203 STRUCK SEMI TRAILER AT RURAL STREET #1 TRACK, SEMI STOPPED ON CROSSING. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (RR XING SYMBOLS)."
03/03/16 17:08,"MEMPHIS, TENNESSEE",WINCHESTER RD,Grenada Railway LLC,TRAIN OPERATING ON IC WAS MOVING TIMETABLE NORTHBOUND OVER HIGHWAY-RAIL GRADE CROSSING DOT#297579V WHEN IT WAS STRUCK BY A VEHICLE. VEHICLE ATTEMPTED TO STOP BUT SKIDDED THROUGH CROSSING GATE INTO THE SIDE OF THE LEAD LOCOMOTIVE. THE 46 YEAR OLD DRIVER WAS NOT INJURED AND WAS CITED FOR TRAFFIC VIOLATIONS.
03/03/16 14:35,"BIRMINGHAM, ALABAMA",31ST SW & CLEBURN,Amtrak (National Railroad Passenger Corporation),"TRAIN 20 OPERATING WITH LOCOMOTIVES E/156-E/166 AND 9 CARS WAS STRUCK BY AN OCCUPIED VEHICLE AT MP 148.33, 31ST STREET CROSSING. THE CONDUCTOR REPORTED THE VEHICLE DROVE AROUND A STANDING TRAIN ON THE ADJACENT TRACK."
03/03/16 13:40,"FORT SMITH, ARKANSAS",N 6TH STREET,Arkansas & Missouri Railroad Company,
03/03/16 11:10,"FREEPORT, TEXAS",POT HOUSE ROAD,Rail Serve,"THE CREW WAS SHOVING 5 CARS EASTWARD ON TRACK A936. THE EMPLOYEE CONTROLING THE MOVE GAVE THE COMMAND THAT A RED TRUCK WAS IN THE AREA ABOUT THREE CARS TO THE CROSSING. THE RED TRUCK TURNED OFF, AND A SECOND TRUCK APPROACHED THE CROSSING. AT TWO CARS AWAY OUR EMPLOYEE SAW THE TRUCK STOP. THEN ABOUT ONE CAR AWAY THE TRUCK STARTED OFF AGAIN, WE STRUCK THE TRUCK BEFORE WE COULD STOP. THE TRUCK DRIVER SAID HE ONLY LOOKED ONE WAY AND DID NOT SEE THE TRAIN APPROACHING."
03/03/16 9:35,"MARIONVILLE, MISSOURI",O'DELL,BNSF Railway Company,
02/03/16 23:03,"FLINT, MICHIGAN",HOWARD ST,Grand Trunk Western Railroad Incorporated,DRIVER RAN OUT OF GAS AND WAS STOPPED ON THE HOWARD ST. CROSSING. THE DRIVER HAD EXITED THE VEHICLE PRIOR TO THE TRAIN'S APPROACH. TRAIN STRUCK THE UNOCCUPIED VEHICLE. ALL SIGNALS FUNCTIONING AS INTENDED. NO INJURIES WERE REPORTED.
02/03/16 18:41,"DETROIT, MICHIGAN",PRIVATE,Consolidated Rail Corporation,TRAIN STRUCK VEHICLE THAT WAS FOUL OF RAIL.
02/03/16 17:27,"GLENCOE, ILLINOIS",PARK AVENUE,Union Pacific Metra,HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING.
02/03/16 17:15,"PASCAGOULA, MISSISSIPPI",CHICOT ROAD,CSX Transportation,THE M60929 CLIPPED THE REAR END OF AN UNOCCUPIED TRUCK THAT WAS STOPPED AT CHICOT ROAD. THERE WERE NO INJURIES. PROTECTION ALSO AT CROSSING: PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
02/03/16 13:25,"JACKSONVILLE, FLORIDA",COLLINS RD,CSX Transportation,"E01329 WAS TRAVELING NORTH BOUND, A PICKUP WITH A TRAILER WAS FOULING THE TRACKS RAILROAD CROSSING.THE E01329 STRUCK THE FRONT-END OF THE PICKUP TRUCK."
02/03/16 7:17,"BLANCA, COLORADO",BROADWAY AVE,San Luis & Rio Grande Railroad,TRAIN OPERATING TIMETABLE WESTBOUND AT HIGHWAY-RAIL GRADE CROSSING DOT#253488S STRUCK A VEHICLE THAT STOPPED ON THE CROSSING. THE DRIVER WAS NOT INJURED.
01/03/16 23:24,"DALTON, GEORGIA",W. HAWTHORNE ST,CSX Transportation,"REPORT OF INTOXICATED DRIVER RUNNING INTO THE SIDE OF A TRAIN AT A CROSSING IN DALTON, GA. THROUGH PROCESS OF ELIMINATION ITS BEEN DETERMINED IT HAD TO BE Q02929. TRAIN WAS STOPPED AND INSPECTED WITHNO DAMAGE FOUND. PROTECTION ALSO AT CROSSING: ADVANCE WARNING."
01/03/16 22:45,"LIPSCOMB, ALABAMA",32ND ST,CSX Transportation,Q52202 STRUCK AN OCCUPIED SUV AT 32ND STREET. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
01/03/16 22:01,"BRUNSWICK, GEORGIA",PERRY LANE ROAD,CSX Transportation,A77401 STRUCK AN OCCUPIED 2014 GMC SIERRA 1500 AT THE CROSSING. NO INJURIES TO TRAIN CREW. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
01/03/16 16:30,"EXCELSIOR SPRINGS, MISSOURI",DUNBAR AVE,Canadian Pacific Railway Company,"SURFACING CREW WAS TRAVELING NORTH TO CLEAR TRACK FOR THE EVENING. TAMPER CAME TO DUNBAR AVE CROSSING THAT WAS UNPROTECTED. AFTER STOPPING AND DETERMINING THE WAY WAS CLEAR, OPERATOR PROCEEDED TO CROSS. AS HE STARTED TO PROCEED OPERATOR NOTICED A CAR APPROACHING FROM THE SOUTHWEST AND HE STOPPED THE TAMPER. AUTOMOBILE STRUCK REAR OF TAMPER (TAMPER WAS OPERATING IN REVERSE). ELDERLY DRIVER INDICATED HE THOUGHT HE COULD GET OVER THE CROSSING AHEAD OF THE MACHINE. CROSSING WARNING INCLUDES GATES, L"
01/03/16 9:30,"NASHUA, IOWA",WOODBRIDGE ST,"Chicago, Central & Pacific Railroad Company",SEMI-DRIVER PULLED IN FRONT OF THE ONCOMING TRAIN AND WAS STRUCK IN THE REAR PORTION OF THE TRAILER. DRIVER WAS TRANSPORTED TO HOSPITAL FOR OBSERVATION ONLY - NO INJURIES REPORTED. DRIVER WAS CITEDBY LOCAL AUTHORITIES. CROSSING MARKED WITH CROSSBUCKS AND YIELD SIGNS.
29/02/16 19:25,"LAFAYETTE, LOUISIANA",VEROT SCHOOL ROAD,Louisiana & Delta Railroad,"UNKNOWN DRIVER STRUCK REAR OF TRAIN, DRIVER DID NOT STOP - LEFT SCENE."
29/02/16 17:25,"CHESAPEAKE, VIRGINIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN 234V127 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED.
29/02/16 16:45,"EDEN, IDAHO",E WILSON ST,Eastern Idaho Railroad,ON MONDAY FEBRUARY 29TH AT AROUND 1645. CONDUCTOR COLTRIN ON THE NORTHSIDE SWITCHER CREW INFORMED MANAGEMENT THAT THEY HAD STRUCK A PICK UP AT THE WILSON ST CROSSING IN EDEN. THE TRAIN CREW REPORTEDTHE DRIVER AFTER BEING STRUCK FLED THE SCENE. POLICE WERE ABLE TO LOCATE THE DRIVER APPROXIMATELY THREE MILES AWAY DUE TO A WITTNESSES STATEMENT.
29/02/16 16:43,"SIOUX CITY, IOWA",KENT FEEDS PRIVATE C,Union Pacific Railroad Company,#32 WARNING DEVICES - PRIVATE RR CROSSING
29/02/16 11:52,FLORIDA,PVT WALLY'S AUTO,Amtrak (National Railroad Passenger Corporation),"TRAIN 91 OPERATING WITH LOCOMOTIVE E/2 AND 7 CARS STRUCK THE BACK END OF A TRACTOR-TRAILER AT CROSSING. THE AGE OF THE DRIVER WAS NOT AVAILABLE. AMTRAKS EQUIPMENT DAMAGE IS $6,819.00."
28/02/16 18:20,"NORTHPORT, ALABAMA",HARPER ROAD,Alabama Southern Railroad,"ABSR 251 WAS TRAVELING WEST BOUND TO WORK CUSTOMER. AT APPROXIMATELY 1820 THE ABSR 251 HIT A VEHICLE AT HARPER ROAD IN NORTHPORT, AL. THE VEHICLE FAILED TO STOP FOR THE TRAIN, AND THE TRAIN IMPACTED THE DRIVER'S SIDE AT 10 MPH. THE ENGINEER PUT THE TRAIN IN EMERGENCY AT THE TIME OF IMPACT AND THE VEHICLE WAS PUSHED ABOUT 120 FEET DOWN THE TRACK."
28/02/16 14:06,"BRINKLEY, ARKANSAS",DIXON STREET,Union Pacific Railroad Company,
28/02/16 9:47,"NORTH CANAAN, CONNECTICUT",ORCHARD STREET,"Housatonic Railroad Company, Incorporated",TRAIN NX-13 WITH A CREW OF ONE ENGINEER AND ONE CONDUCTOR WAS TRAVELING NORTH WITH 2 LOCOMOTIVES AND 11 LOADS IN THE CONSIST. A MOTOR VEHICLE TRAVELING WEST CAME ACROSS THE ORCHARD STREET CROSSING AND THEN STOPPED AT THE INTERSECTION WITH ROUTE 7. THE REAR BUMPER OF THE VEHICLE WAS FOULING THE TRACK AND THE TRAIN COLLIDED WITH THE PORTION OF THE VEHICLE THAT WAS FOULING THE TRACK. THERE WERE NO INJURIES TO THE DRIVER OR THE TRAIN CREW. THE MOTOR VEHICLE WAS ABLE TO BE DRIVEN FROM THE SCENE FOLLO
28/02/16 4:45,"SPRINGFIELD, ILLINOIS",CITY/ADAMS,Norfolk Southern Corporation,NS TRAIN D79 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
27/02/16 8:02,"BELLAIRE, TEXAS",US 59-SOUTHWEST FWY,Union Pacific Railroad Company,"HIGHWAY USER WENT THROUGH THE GATES, STOPPED ON THE CROSSING WHEN THE GATES LANDED ON TOP OF THE CAR. HIGHWAY USER THEN ATTEMPTED TO REVERSE WHEN THE TRAIN STRUCK THE VEHICLE ON THE FRONT OF THE CAR."
27/02/16 2:32,TEXAS,TEXAS HIGHWAY 185,Union Pacific Railroad Company,HIGHWAY USER IGNORED THE CROSSING DEVICES AND PROCEEDED THROUGH THE CROSSING AS THE TRAIN WAS SHOVING BACK. HIGHWAY USER'S ACTIONS: DID NOT STOP
27/02/16 0:49,"ROYAL OAK, MICHIGAN",6TH ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 354 OPERATING WITH LOCOMOTIVE E/27 AND 5 CARS STRUCK A PEDESTRIAN THAT ATTEMPTED TO BEAT THE TRAIN BY RUNNING ACROSS THE TRACK AT MP12.80, 6TH STREET CROSSING."
26/02/16 22:36,"CANYON, TEXAS",15TH STREET,BNSF Railway Company,13: BICYCLE 41: PRECEDED GATES
26/02/16 21:00,"LA PORTE, TEXAS",BAY AREA BLVD,Union Pacific Railroad Company,HIGHWAY USER WENT AROUND THE GATE AND FAILED TO YIELD WHILE THE TRAIN WAS SHOVING INTO THE INDUSTRY. HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING
26/02/16 19:22,TEXAS,FM 1044,Union Pacific Railroad Company,HIGHWAY USER STOPPED ON CROSSING PRIOR TO THE GATES DESCENDING.
26/02/16 12:37,"PALATINE, ILLINOIS",PLUM GROVE RD.,Union Pacific Metra,HIGHWAY USER STOPPED ON THE CROSSING PRIOR TO THE GATES DESCENDING.
26/02/16 12:24,OKLAHOMA,CR 1510,Union Pacific Railroad Company,#32 WARNING DEVICES - YIELD SIGN
26/02/16 8:20,"ELMWOOD PARK, NEW JERSEY",MIDLAND AVENUE,New Jersey Transit Rail Operations,"TRAIN #1156 STRUCK AN UNOCCUPIED VEHICLE THAT WAS STALLED FOULING TRACK #2 AT THE MIDLAND AVENUE CROSSING AT MP 13.77. NO INJURIES, DAMAGED CAB CAR #6018."
26/02/16 5:45,"PIGEON, MICHIGAN",MICHIGAN AVENUE,Huron & Eastern Railway,"CREW WAS SPOTTING CARS TO THE CO-OP ELEVATOR TRACK; TRAIN HAD STOPPED AND CREW MEMBER WAS FLAGGING CROSSING, WHEN TRAIN INITIATED MOVEMENT MOTOR VEHICLE DRIVER TURNED ONTO THE STREET AND DROVE TOWARDTHE CROSSING. BOTH TRAIN AND VEHICLE STOPPED ON THE CROSSING AND CONTACT WAS MADE BETWEEN LEAD CAROF THE SHOVE AND THE PICKUP TRUCK."
25/02/16 17:55,"DALLAS, TEXAS",SUNDAY ST.,Amtrak (National Railroad Passenger Corporation),"TRAIN 22 OPERATING WITH LOCOMOTIVE E/58 AND 8 CARS STRUCK AN UNOCCUPIED VEHICLE AT MP 2.30, SUNDAY ST CROSSING. THE AGE OF THE DRIVER WAS NOT AVAILABLE DUE TO THE DRIVER FLED THE SCENE. AMTRAKS EQUIPMENT DAMAGE IS $500.00."
25/02/16 15:15,"HAZLET, NEW JERSEY",BEERS STREET MP 8.0,New Jersey Transit Rail Operations,TRAIN #2302 STRUCK AN OCCUPIED VEHICLE THAT DROVE AROUND THE GATE INTO THE PASTH OF TRAIN AT BEERS STREET IN HAZLET. 1 INJURY. DAMAGED HOSES ON ENGINE 4003.WARNINGS AT CROSSING INCLUDE STOP LINES ANDR15-2 SIGNS. DRIVER AGE NOT KNOWN.
24/02/16 18:59,"SAN FERNANDO, CALIFORNIA",SYCAMORE DRIVE,Southern California Regional Rail Authority,TRAIN 121 FATALLY STRUCK A PEDESTRIAN LAYING BETWEEN THE RAILS AT SYCAMORE DRIVE. AGE UNKNOWN AT THIS TIME
24/02/16 17:15,"FORT WORTH, TEXAS",RIVERSIDE DRIVE,Trinity Railway Express (previously TREX),BOYS AND GIRLS CLUB OF FORT WORTH BUS STOPPED ON TRACKS DUE TO A RED SIGNAL AT AN INTERSECTION NORTH OF THE CROSSING. DRIVER STATED THAT HE THOUGHT THE REAR OF HIS BUS WAS NOT ON TRACKS. THERE WERENO OCCUPANTS IN BUS WHEN ACCIDENT OCCURRED.
24/02/16 11:20,NEBRASKA,COUNTY ROAD 169,Union Pacific Railroad Company,
24/02/16 10:40,"PALISADE, COLORADO",MAIN ST NO 2ND ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 6 OPERATING WITH LOCOMOTIVES E/125-E/94 AND 8 CARS STRUCK A PEDESTRIAN RIDING A BICYCLE AT MP437.08, MAIN ST CROSSING. THERE WAS NO EQUIPMENT DAMAGE."
24/02/16 8:28,"LOS ANGELES, CALIFORNIA",48TH PLACE,Union Pacific Railroad Company,PEDESTRIAN WENT AROUND GATES AND ATTEMPTED TO CRAWL UNDER THE TRAIN (9TH POSITION) ON THE CROSSING.
24/02/16 2:40,"JACKSONBURG, WEST VIRGINIA",PRIVATE ROAD,CSX Transportation,Q31723 STRUCK A SEMI TRUCK AT CROSSING. MOTORISTS AGE UNKNOWN.
23/02/16 21:41,"LOUISVILLE, KENTUCKY",WATHEN LN,Paducah & Louisville Railway Company,HIGHWAY USER FAILED TO OBSERVE TRAFFIC LIGHTS AND THE TRAIN CONDUCTOR THAT WAS FLAGGING THE CROSSING. HIGHWAY DID NOT STOP AND WAS STRUCK BY TRAIN. NO INJURIES WERE REPORTED AT THE TIME OF THE INCIDENT.
23/02/16 20:25,"AURORA, MISSOURI",MCNATT AVE.,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
23/02/16 18:45,"N/A, GEORGIA",CR 287/HYDE ST,Norfolk Southern Corporation,NS TRAIN 22QA123 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
23/02/16 17:25,"TUALATIN, OREGON",PEDESTRIAN CROSSING,"Portland & Western Railroad, Inc.",A BICYCLIST FAILED TO YIELD AT A PEDESTRIAN CROSSING AND A COMMUTER DMU STRUCK THE BICYCLIST. THE BICYCLIST SUFFERED A FRACTURED LEG AND WAS LATER CITED FOR DUI.
23/02/16 13:55,"EL PASO, TEXAS",PIEDRAS ST.,Union Pacific Railroad Company,PICKUP WAS STUCK ON THE CROSSING BY TRAFFIC. HIGHWAY USER ATTEMPTED TO GET OFF THE CROSSING BUT WAS UNSUCCESSFUL.
23/02/16 13:36,"COVINA, CALIFORNIA",AZUSA AVENUE,Southern California Regional Rail Authority,BICYCLIST RODE AROUND THE GATES AT AZUSA AVENUE AND WAS FATALLY STRUCK BY TRAIN 310.
23/02/16 11:14,"OBERLIN, LOUISIANA",GUILLORY,Union Pacific Railroad Company,
23/02/16 9:32,"BERKELEY, CALIFORNIA",GILMAN ST,Amtrak (National Railroad Passenger Corporation),TRAIN 526 STRUCK A PEDESTRIAN AT CROSSING. THERE WAS NO EQUIPMENT DAMAGE.
23/02/16 8:50,"CHICAGO, ILLINOIS",PRIVATE,Norfolk Southern Corporation,NS TRAIN BS50 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
23/02/16 7:43,"N/A, SOUTH CAROLINA",S-76/OLD LADSON,Norfolk Southern Corporation,NS TRAIN 238P922 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
23/02/16 3:55,"CRESTWOOD, KENTUCKY",RAILROAD ST,CSX Transportation,NORTHBOUND Q27223 CSXT 810 STRUCK TRACTOR TRAILER AT CROSSING.
23/02/16 1:55,"N/A, OHIO",CITY/MADDOCK RD,Norfolk Southern Corporation,NS TRAIN 11JC322 STRUCK A HWY-USER(PEDESTRIAN) AT A HWY-GRADE CROSSING.
22/02/16 17:45,"CHICAGO, ILLINOIS",RACINE AVE.,Norfolk Southern Corporation,NS (CUT OF) RAIL CARS WERE STRUCK BY HWY-USER AT A HWY-GRADE CROSSING.
22/02/16 17:35,"SAN FERNANDO, CALIFORNIA",WOLFSKILL,Southern California Regional Rail Authority,TRAIN 224 STRUCK AN UNOCCUPIED VEHICLE AT THE WOLFSKILL GRADE CROSSING. DRIVER'S AGE AND GENDER UNKNOWN AT THIS TIME.
22/02/16 11:20,"N/A, GEORGIA",S2066/PEARIDGE RD,Norfolk Southern Corporation,NS TRAIN 140G822 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
22/02/16 5:56,"ST LOUIS, MISSOURI",PRIVATE CROSSING,Amtrak (National Railroad Passenger Corporation),"TRAIN 22 OPERATING WITH LOCOMOTIVE E/114 AND 8 CARS STRUCK AN OCCUPIED AUTOMOBILE AT MP 11.35, A PRIVATE CROSSING. AMTRAKS EQUIPMENT DAMAGE IS $2,900.00."
21/02/16 17:44,"STOCKTON, CALIFORNIA",LINCOLN ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 715 OPERATING WITH LOCOMOTIVE E/2007 AND 5 CARS STRUCK A PEDESTRIAN AT CROSSING. AMTRAKS EQUIPMENT DAMAGE IS $5,883.00."
21/02/16 7:51,"ANDOVER, MASSACHUSETTS",ESSEX ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 690 OPERATING WITH LOCOMOTIVE E/41, 4 CARS AND LOCOMOTIVE E/79 TRAILING, STRUCK AN UNOCCUPIEDVEHICLE AT MP 22.69, ESSEX ST CROSSING. WHEN THE VEHICLE BECAME STUCK BETWEEN THE TWO CROSSING GATES THE DRIVER ABANDONED THE VEHICLE BEFORE IMPACT."
20/02/16 22:35,NEW MEXICO,CR U,BNSF Railway Company,
20/02/16 19:24,"PORTLAND, TENNESSEE",SWAMP RD,CSX Transportation,Q22018 STRUCK AN UNOCCUPIED VEHICLE AT SWAMP RD CROSSING.
20/02/16 9:00,"NAMPA, IDAHO",NORTH MIDLAND BLVD,Union Pacific Railroad Company,
20/02/16 7:48,"FLAGSTAFF, ARIZONA",FANNING DRIVE,BNSF Railway Company,41: WALKED AROUND GATES
20/02/16 6:20,"HOUSTON, TEXAS",OIL TANKING WEST MAI,Port Terminal Railroad Association,"AT APPROXIMATELY 0620 AM, JOB 384 RAILROAD INTO THE NORTH YARDMASTER REPORTING THAT THEY HAD HIT A TRUCK AT STOLT CROSSING. THERE WERE NO INJURIES SUSTAINED OR REPORTED, NOR WAS THERE ANY RAIL EQUIPMENT OR TRACK STRUCTURE DAMAGE. MANAGER ARRIVED ON LOCATION AT APPROXIMATELY 0635 AND WAS MET IMMEDIATELY BY THE FOREMAN. HE BRIEFED ME ON WHAT TOOK PLACE FROM THE MOMENT THE SHOVE MOVE APPROACHED THE CROSSING UNTIL IMPACT WAS MADE. THE SOUTH END OF JOB 384' TRAIN SITTING 100 FEET NORTH OF THE GRADE C"
19/02/16 21:10,"DETROIT, MICHIGAN",PRIVATE,Consolidated Rail Corporation,PTI VAN WAS STRUCK BY FD28 SHOVING INTO THE CLASS YARD.
19/02/16 16:00,"DECATUR, ILLINOIS",44TH STREET,CSX Transportation,"CREW WAS APPROACHING SOUTH 44TH STREET CROSSING WHEN A CAR TRIED TO BEAT THE TRAIN TO THE CROSSING AND WAS STRUCK BY THE FRONT LEFT SIDE OF CSXT 6906 BENDING THE FRONT LEFT BOTTOM STEP AND BUSTING THE FRONT LEFT DITCH LIGHT. CREW WAS NOT INJURED AND RESUMED THEIR DUTIES. DRIVERS NAME, AGE AND GENDER ARE UNKNOWN."
19/02/16 14:21,LOUISIANA,SOUTH WINTERVILLE RO,Union Pacific Railroad Company,HIGHWAY USER DID NOT STOP PRIOR TO ENTERING THE CROSSING.
19/02/16 12:50,MICHIGAN,TROMBLEY RD,Wisconsin Central Ltd. (also Railway),A FARM TRACTOR STOPPED ON THE TROMBLEY ROAD CROSSING AND WAS STRUCK BY THE ONCOMING TRAIN. NO INJURIES WERE REPORTED BY THE TRACTOR OPERATOR.
19/02/16 10:45,ILLINOIS,LARAWAY ROAD,Amtrak (National Railroad Passenger Corporation),"TRAIN 303 STRUCK AN OCCUPIED TRACTOR-TRAILER TRUCK AT MP 40.36, LARAWAY RD CROSSING. AMTRAKS EQUIPMENT DAMAGE IS $61,000.00."
19/02/16 1:54,"WINONA, MINNESOTA",WABASHA & S BAKER,Canadian Pacific Railway Company,"470-17, WHILE SETTING OUT IN WINONA, FATALLY INJURED A TRESPASSER WHEN THE INDIVIDUAL MAY HAVE ATTEMPTED TO CRAWL THROUGH OR FELL FROM RAILCAR APPROXIMATELY 5 DEEP IN THE TRAIN - VICTIM WAS SEVERED AND REMAINS WERE FOUND BETWEEN THE 5TH AND 9TH CARS OF TRAIN CONSIST. CROSSING WARNING PROTECTION INCLUDES GATES, FLASHING LIGHT,AUDIBLE AND CROSSBUCK SIGN. IT IS REPORTED THE DECEASED WAS RETURNING TOHIS HOME, WHICH IS 2 HOUSES AWAY ON THE SOUTH SIDE OF THE CROSSING, AFTER LEAVING CONVENIENCE STORE"
18/02/16 23:25,"FREDONIA, NORTH DAKOTA",HIGHWAY 56,"Dakota, Missouri Valley & Western Railroad, Incorporated",AT APPROXIMATELY 23:00 ON 2/18 AN EASTBOUND TRAIN WITH 105 CARS AND 4 LOCOMOTIVES WAS STRUCK BY A SEMI AT THE HWY 56 CROSSING IN FREDONIA. IT WAS RAINY AND FOGGY WITH VERY LIMITED VISIBILITY AND THE SEMI TRAILER WAS UNABLE TO STOP IN TIME HITTING THE TRAIN. ONCE HE MADE CONTACT WITH THE TRAIN IT RIPPED THE HOOD OFF THE SEMI AND APPROXIMATELY 22 CARS PASSED CAUSING MORE DAMAGE TO THE SEMI AND THE CARS.
18/02/16 21:30,"N/A, LOUISIANA",LA 27,Kansas City Southern Railway Company,THE TRAIN WAS TRAVELING NORTH AND STRUCK A VEHICLE AT A CROSSING. THE DRIVER HAD ALREADY EXITED THE VEHICLE.
18/02/16 18:10,"JOHNSON CITY, TENNESSEE",ROAN STREET,Norfolk Southern Corporation,NS TRAIN 202T417 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
18/02/16 10:36,ARKANSAS,FIRST STREET,Union Pacific Railroad Company,DRIVER DID NOT STOP PRIOR TO ENTERING THE CROSSING AND WAS STRUCK BY THE ONCOMING TRAIN.
17/02/16 9:00,"LUBBOCK, TEXAS",50TH STREET EAST,Plainsman Switching Company,DRIVER COULD NOT STOP WHEN HE SAW AND HEARD THE TRAIN HE TURNED HIS WHEELS AND HIS TRUCK TURNED PARALLEL TO TRAIN TRACKS HIS TRAILER OVER TURNED STRIKING THE LEAD LOCOMOTIVE. NO ONE WAS INJURED.
17/02/16 5:30,"OPA LOCKA, FLORIDA",NW 22ND AV,South Florida Regional Transit Authority,ENGINEER ON SOUTHBOUND COMMUTER TRAIN OBSERVED A VEHICLE FOULING THE TRACKS SOUNDED THE HORN AND PLACED THE TRAIN IN EMERGENCY. TRAIN STRUCK THE FRONT OF THE VEHICLE PUSHING IT OFF THE TRACKS. NO INJURIES WERE SUSTAINED. CROSSING WARNING SYSTEM WAS OPERATING AS INTENDED.
16/02/16 21:05,"DOWNS, KANSAS",MORGAN AVE,Kyle Railroad Company,KYGDOSA1-17 CREW WAS BUILDING GRAIN TRAIN WITH CROSSING OCCUPIED WHEN AN INATTENTIVE DRIVER STOPPEDTHEN MOVED FORWARD INTO THE TRAIN. THE DRIVER THEN FLED THE SCENE.
16/02/16 18:00,"PAULSBORO, NEW JERSEY",TWP/BEACON AVE.,Consolidated Rail Corporation,HIGHWAY USER STRUCK TRAIN
16/02/16 16:52,"SAN LUIS OBISPO, CALIFORNIA",FOOTHILL BLVD.,Amtrak (National Railroad Passenger Corporation),"TRAIN 14 OPERATING WITH LOCOMOTIVES E/509-E/85 AND 9 CARS STRUCK A PEDESTRIAN AT MP 250.50, FOOTHILL BLVD CROSSING. THE PEDESTRIAN WAS WEARING EARBUDS AND LOOKING DOWN AT HIS PHONE AS HE WALKED INTOTHE PATH OF THE TRAIN."
16/02/16 9:50,"BELLVILLE, TEXAS",SH 0159,BNSF Railway Company,41: HYRAIL NO GATES
